id,tclase
56187,NON
36589,NON
56921,NON
19779,OFF
54851,NON
32903,NON
21437,NON
25850,NON
5443,OFF
1649,NON
35579,NON
25174,NON
55209,NON
487,NON
36836,NON
20312,NON
1866,NON
28979,NON
58317,NON
14701,NON
14578,NON
2345,NON
28006,NON
27765,OFF
16581,NON
4247,NON
30679,NON
20067,NON
45282,NON
26955,NON
13479,NON
27379,NON
45354,NON
30058,NON
34352,NON
2249,NON
40580,NON
51535,NON
6063,NON
12989,NON
19396,NON
3916,NON
39010,NON
37891,OFF
3646,NON
3258,OFF
53459,OFF
6886,NON
46949,NON
32475,OFF
28601,NON
50651,NON
53557,NON
1896,NON
22619,NON
56947,NON
37301,NON
6054,NON
18593,NON
37817,OFF
33925,NON
25805,NON
3281,NON
18043,NON
29278,NON
11594,OFF
43506,NON
29482,NON
21484,NON
35442,NON
6846,NON
39424,NON
44665,NON
57157,NON
37825,NON
42444,OFF
44573,NON
59558,NON
12190,OFF
49840,OFF
58989,OFF
27480,NON
31023,NON
13172,NON
1322,NON
14645,NON
11705,NON
6720,NON
52345,OFF
36142,NON
49722,OFF
17934,NON
21476,NON
9906,OFF
11338,NON
14491,NON
17476,NON
88,NON
18441,NON
7165,NON
42404,NON
42876,NON
54288,OFF
28176,NON
28288,NON
49093,NON
6996,NON
10683,NON
28854,OFF
52631,NON
11764,NON
19007,NON
38938,NON
11334,NON
10648,NON
35566,NON
15065,NON
9478,NON
653,OFF
54171,OFF
7311,NON
50473,NON
217,NON
53356,NON
24258,NON
44043,NON
1750,NON
45458,NON
48240,NON
48459,NON
42222,NON
27233,NON
46205,NON
8450,NON
23714,NON
34435,NON
56746,NON
50259,OFF
19886,OFF
40780,NON
9558,NON
23330,NON
10347,NON
16058,NON
26377,NON
33973,NON
53197,NON
55599,NON
48875,NON
3793,NON
9656,NON
28820,NON
14394,NON
9769,NON
39344,NON
55144,NON
5557,NON
41705,NON
7682,NON
13269,NON
25181,NON
22545,NON
41518,NON
59529,NON
32390,NON
22339,NON
30189,OFF
27506,NON
17643,OFF
47425,NON
5587,NON
11324,NON
33940,NON
53270,NON
51228,NON
45932,OFF
58507,OFF
56136,NON
1259,NON
59012,NON
280,NON
21397,NON
36503,OFF
16810,NON
16509,NON
26685,NON
17414,NON
26084,NON
18024,NON
25975,NON
20838,NON
18537,NON
3551,NON
40522,NON
19183,OFF
59020,NON
35316,NON
47467,NON
39822,NON
46037,NON
46237,NON
36262,NON
7356,NON
37628,NON
43079,NON
15530,NON
41238,NON
59686,NON
56439,NON
33261,NON
34519,NON
31445,NON
34960,NON
14575,NON
54685,NON
50453,NON
56172,NON
15510,NON
53974,OFF
17729,NON
56311,NON
3841,NON
52406,NON
4236,NON
2094,OFF
13466,NON
6428,NON
46763,NON
46502,NON
23519,NON
2498,NON
25990,NON
47621,NON
25861,OFF
49713,NON
22282,NON
43983,NON
4933,NON
57861,NON
33278,NON
4485,NON
14734,NON
37258,NON
30032,NON
28196,NON
32942,NON
46147,NON
50295,NON
15793,NON
41886,NON
33803,NON
5578,OFF
46580,NON
51468,NON
3200,NON
40816,NON
50027,NON
13084,OFF
18578,NON
46848,NON
21239,NON
59356,OFF
21438,NON
13374,NON
5822,NON
19109,NON
5504,NON
34594,OFF
53509,NON
10102,NON
44439,NON
10674,NON
7729,NON
37814,NON
38214,NON
39441,NON
31682,OFF
39304,NON
9635,NON
9505,NON
19949,NON
21379,OFF
9017,NON
6420,OFF
13665,NON
5412,NON
42555,NON
8485,NON
19891,NON
17754,NON
50511,OFF
24717,NON
13564,NON
40410,NON
14862,NON
19348,NON
39044,NON
39006,NON
31429,NON
13885,NON
42606,OFF
13668,NON
56419,NON
54386,NON
54073,NON
45384,OFF
40204,NON
21696,NON
12811,OFF
40871,NON
42774,NON
59102,NON
54834,OFF
26183,NON
50099,NON
37187,NON
9424,OFF
36966,NON
2577,NON
52016,NON
59017,NON
7134,NON
24708,NON
29796,NON
46137,NON
6378,NON
7664,NON
21979,NON
52003,NON
22388,NON
36469,NON
40031,NON
32394,OFF
54471,NON
9681,NON
49661,NON
55497,NON
29521,NON
35840,NON
51803,NON
50312,NON
374,NON
47912,NON
5039,NON
24096,NON
48675,NON
14820,NON
54476,NON
46437,NON
55188,NON
23876,NON
28712,OFF
52647,NON
7400,NON
50061,NON
53737,NON
8226,NON
30237,NON
56100,OFF
13758,NON
51035,OFF
15498,NON
12000,NON
12799,OFF
28083,OFF
17551,NON
25300,NON
56568,OFF
38052,OFF
47348,NON
16980,NON
29318,OFF
52855,NON
50659,NON
24330,NON
46780,NON
4704,NON
30321,OFF
2427,OFF
28374,NON
36878,NON
19040,OFF
1932,OFF
51546,NON
23457,NON
22090,NON
42967,NON
18421,NON
41249,NON
37186,NON
50573,OFF
1812,NON
33572,NON
15176,NON
19811,NON
5235,NON
50676,OFF
3575,NON
12252,NON
35423,NON
50520,NON
58437,NON
29352,NON
3311,OFF
17066,NON
17377,NON
29512,NON
48265,NON
27172,NON
51445,NON
52190,OFF
24494,OFF
51090,NON
58012,OFF
41243,NON
53886,NON
50067,NON
52386,NON
3788,NON
31875,NON
1904,NON
23035,NON
27473,OFF
31958,NON
24240,NON
28157,NON
46225,NON
34183,NON
8244,OFF
35572,OFF
22378,NON
2683,OFF
34227,NON
23084,NON
47406,NON
15075,NON
13453,NON
27886,OFF
51151,OFF
56331,OFF
49642,NON
37158,NON
25682,NON
52796,NON
32153,NON
2613,NON
21213,NON
37927,OFF
55612,NON
53174,NON
56557,NON
6403,NON
35827,NON
9713,NON
26931,NON
9574,OFF
26838,NON
43639,NON
13513,NON
42318,OFF
51737,NON
24431,NON
47446,NON
53531,NON
26182,NON
21960,NON
50287,OFF
57214,NON
17092,NON
16641,NON
22683,NON
39484,NON
3294,NON
58831,NON
42858,OFF
43318,NON
58822,NON
55237,NON
10416,NON
19333,NON
29044,NON
3801,NON
22268,NON
59070,NON
29378,NON
44225,OFF
2200,NON
40455,NON
28572,NON
25967,NON
15945,NON
42266,NON
56099,NON
16207,OFF
30029,NON
17125,NON
27335,NON
55197,OFF
42454,NON
21044,OFF
22453,NON
56567,NON
58699,NON
17372,NON
36527,NON
18733,NON
53262,OFF
46035,NON
52767,NON
53684,NON
35795,OFF
32827,NON
40197,OFF
14451,NON
43537,NON
24389,NON
44105,NON
52412,NON
18290,OFF
54807,NON
12583,NON
44063,NON
39291,NON
3010,NON
47303,NON
23237,NON
45291,NON
52639,NON
11735,NON
5594,NON
48576,NON
44388,NON
14866,NON
12740,NON
47440,OFF
53954,OFF
29471,NON
52988,NON
27168,NON
53846,NON
40730,NON
45530,NON
45987,NON
16515,NON
51171,NON
46568,NON
22204,NON
11470,NON
15130,NON
39623,NON
47453,NON
3717,OFF
18150,NON
9296,NON
7592,NON
5044,NON
13295,NON
21486,NON
33436,NON
46917,NON
26369,NON
57016,NON
49875,NON
38109,NON
4331,NON
24813,NON
18688,NON
7896,NON
44705,NON
42161,NON
36330,NON
4983,NON
47834,NON
23916,NON
49043,NON
1680,NON
33319,NON
39595,NON
37455,NON
23209,NON
59589,NON
16263,NON
46090,NON
8221,OFF
50310,NON
59165,NON
53430,NON
2614,NON
1336,NON
2036,NON
52001,NON
5929,NON
58110,NON
29179,NON
4811,NON
22218,NON
23009,NON
4116,OFF
28073,NON
22477,NON
28617,NON
27673,NON
9400,NON
42581,OFF
46614,NON
57895,NON
45693,NON
53594,NON
23883,NON
54233,NON
27846,NON
46672,NON
27290,OFF
46504,NON
29391,OFF
57275,NON
41769,OFF
26741,OFF
52902,NON
58375,NON
41213,NON
44488,OFF
23483,NON
1523,NON
6838,NON
46109,NON
23701,NON
29167,NON
22104,OFF
44503,NON
56787,NON
57527,NON
57823,OFF
42579,OFF
7284,NON
343,NON
10392,NON
50216,NON
45591,NON
690,NON
38100,NON
40861,OFF
44280,NON
10896,NON
16679,NON
18320,NON
51243,NON
6074,NON
44045,NON
26280,NON
44198,NON
44630,NON
6989,OFF
33325,NON
20938,NON
52587,NON
13064,NON
16637,NON
8731,NON
47777,NON
22640,OFF
20870,NON
22361,OFF
1899,NON
43748,NON
53649,NON
11517,NON
42729,NON
25136,NON
45651,NON
56418,NON
56193,NON
47532,NON
34602,OFF
26719,NON
34373,NON
47975,NON
25306,NON
48445,NON
9654,OFF
46188,NON
34257,NON
55867,NON
38233,NON
44074,NON
49740,NON
17546,NON
33431,NON
1378,NON
20675,NON
5552,NON
6654,NON
59830,NON
5225,NON
28560,NON
36355,NON
55842,OFF
10604,NON
45685,NON
29122,NON
51954,NON
23115,NON
1577,OFF
15429,NON
54023,NON
1669,OFF
15058,NON
17010,NON
27981,NON
48657,NON
58503,NON
32025,NON
54179,NON
49985,NON
52234,NON
59076,NON
1112,NON
54530,NON
34893,NON
40702,NON
47501,NON
37362,NON
52741,NON
49154,NON
13743,NON
44656,NON
23716,NON
10815,NON
1009,NON
44422,NON
15101,NON
50884,NON
46982,NON
56762,NON
5170,NON
35986,NON
37767,NON
23056,NON
1629,NON
30209,NON
57113,NON
6389,OFF
35616,NON
48374,NON
23773,NON
56693,NON
30656,NON
18541,OFF
58603,OFF
41028,NON
43259,NON
43324,OFF
15287,NON
2485,NON
46112,NON
3120,NON
12258,OFF
44424,OFF
33848,NON
14964,NON
52625,NON
15095,OFF
52530,NON
56725,NON
58361,NON
57798,NON
49416,NON
7934,NON
52969,OFF
15847,NON
4667,NON
44250,NON
19419,NON
31254,NON
20054,NON
10232,NON
59623,NON
25037,NON
42587,NON
20934,NON
44885,NON
36218,NON
58321,NON
3624,NON
21072,NON
53673,NON
13811,NON
31738,NON
27711,NON
11998,NON
38583,NON
44309,NON
17054,NON
25594,NON
31764,OFF
6619,NON
8163,NON
57729,NON
4493,OFF
31410,NON
2365,OFF
43600,NON
23538,OFF
6076,NON
12748,OFF
9047,NON
32517,NON
27813,NON
31861,NON
23872,OFF
41337,NON
20365,NON
34940,NON
8510,NON
864,OFF
24222,NON
19022,NON
47016,NON
37472,NON
48014,OFF
54640,NON
50199,NON
21710,NON
22369,NON
17166,NON
17234,NON
19394,NON
52970,NON
50189,NON
18944,NON
44469,NON
22510,NON
50766,NON
53112,NON
42180,NON
21863,NON
10843,NON
6194,NON
13419,NON
43971,OFF
1177,NON
37225,NON
45856,OFF
36168,OFF
55958,NON
15739,NON
29277,NON
6243,NON
27047,NON
56657,OFF
36421,OFF
50677,NON
40442,NON
41324,NON
53114,NON
9605,NON
50107,NON
6709,OFF
24646,NON
53963,NON
55314,NON
31412,NON
42880,NON
53238,NON
16743,NON
3160,NON
4541,NON
1488,NON
54629,NON
13614,NON
59112,NON
53257,NON
2551,OFF
49589,OFF
5948,NON
31846,OFF
37167,NON
29394,NON
7363,OFF
5147,NON
44607,NON
20386,NON
51728,NON
33343,NON
21870,NON
23264,NON
29433,NON
58616,NON
33068,NON
915,NON
48849,NON
46756,NON
50477,NON
48175,NON
59719,NON
2022,NON
23495,NON
21050,NON
58015,NON
2112,OFF
19452,NON
47063,NON
40796,NON
8418,NON
19061,NON
45857,NON
59192,NON
43737,OFF
22687,NON
38016,NON
4583,OFF
13851,NON
33551,NON
35674,NON
16976,NON
25322,NON
40974,NON
53018,NON
29082,NON
25483,NON
39986,NON
45232,NON
50760,NON
47632,NON
56532,NON
29908,NON
29124,NON
50304,NON
14914,NON
9596,NON
3435,NON
43297,NON
6112,NON
47194,NON
6532,NON
23748,NON
53474,NON
28267,NON
6338,NON
28808,NON
54462,NON
42785,NON
18972,NON
43422,NON
7845,NON
21830,NON
3003,NON
36695,NON
48714,NON
4062,NON
52362,NON
10266,OFF
21788,NON
42170,NON
44117,NON
47654,OFF
58059,NON
33743,NON
52041,NON
31154,NON
29250,NON
26975,NON
5933,OFF
57087,NON
47151,OFF
52996,NON
57540,NON
30364,NON
26164,NON
29141,NON
20876,NON
38907,OFF
6553,NON
5766,NON
37135,NON
1217,NON
3665,NON
28278,NON
15294,NON
48471,NON
2754,NON
12906,NON
46970,NON
15135,NON
14557,NON
5503,NON
21614,NON
13759,NON
15324,NON
34467,NON
3208,NON
41757,OFF
54842,NON
22140,NON
100,NON
44736,NON
6961,NON
11373,NON
6519,NON
58243,NON
24613,OFF
27282,NON
8265,NON
8720,NON
20135,NON
32849,OFF
55857,NON
1768,NON
39722,NON
11011,OFF
50613,NON
53949,NON
40063,NON
35207,NON
57873,NON
24929,NON
24932,NON
35365,NON
3677,NON
7766,NON
11972,NON
13468,NON
29248,NON
13092,NON
32674,NON
12434,NON
56048,NON
10752,NON
58574,NON
56005,NON
53581,NON
22637,NON
11574,NON
36792,OFF
37242,NON
20771,NON
54650,NON
34710,NON
50373,NON
57381,OFF
33506,NON
43838,NON
36844,NON
49073,OFF
30805,NON
24377,NON
4607,NON
8272,OFF
31956,NON
16759,NON
16119,NON
48601,NON
38353,NON
7751,NON
31879,NON
8526,NON
52683,NON
46434,OFF
11445,OFF
13580,NON
20590,NON
34161,NON
56713,NON
21146,OFF
22976,NON
19417,NON
8687,NON
58408,OFF
21479,NON
32194,NON
49669,NON
53379,NON
32344,NON
56353,NON
18662,NON
26076,OFF
2493,NON
54339,NON
31237,OFF
8015,NON
36715,NON
37415,NON
13174,NON
36190,OFF
28237,NON
19009,NON
51551,NON
16505,NON
43524,NON
42134,NON
16122,NON
28080,OFF
24658,OFF
38777,NON
40117,NON
54484,NON
14188,NON
12196,NON
56915,NON
9572,NON
43705,NON
21149,NON
23324,NON
40393,NON
37387,NON
5525,NON
565,NON
15072,NON
45404,NON
4091,NON
55229,NON
25769,NON
19820,NON
30551,NON
34869,NON
31423,OFF
15931,NON
49402,OFF
38474,NON
56635,NON
37470,NON
23780,NON
53067,NON
39406,NON
54808,NON
21498,NON
42072,NON
55920,NON
53679,NON
17028,NON
17005,NON
31084,NON
4214,NON
47863,NON
35080,NON
9116,NON
44097,NON
56312,NON
23942,NON
49022,NON
8560,NON
45081,NON
45935,NON
7989,NON
42966,OFF
59633,NON
1356,NON
26303,NON
59658,NON
33337,NON
46507,NON
18804,NON
42751,NON
42805,NON
53316,NON
59901,NON
226,NON
59047,NON
41732,NON
654,NON
16943,NON
30633,NON
16130,NON
50264,NON
57395,OFF
5838,OFF
53936,NON
55706,OFF
32520,NON
25035,NON
13271,NON
54077,NON
52062,NON
52176,NON
51303,NON
11202,NON
56145,NON
17828,NON
18513,NON
8989,NON
34445,NON
14150,NON
28194,NON
11504,NON
50793,NON
54992,NON
15370,NON
34739,NON
51395,NON
29617,NON
56997,NON
59899,NON
21661,NON
23187,NON
35610,NON
36990,NON
46990,NON
17811,NON
5218,NON
8625,NON
57313,NON
39130,NON
9519,NON
16526,OFF
47783,NON
42256,NON
24840,OFF
38195,NON
41383,OFF
36230,NON
51172,NON
27952,NON
17979,NON
25276,NON
4958,NON
48648,NON
25229,OFF
49254,NON
15727,NON
48529,NON
16302,OFF
43608,NON
6007,NON
32348,NON
28612,OFF
30387,NON
2344,OFF
1118,OFF
32916,NON
30097,NON
17458,NON
18209,NON
36812,NON
17823,NON
17945,NON
25686,NON
42202,NON
19314,NON
5567,OFF
26153,NON
53336,NON
56390,NON
46426,NON
6779,OFF
1044,NON
58789,NON
52181,NON
35965,NON
39695,NON
20138,NON
40070,NON
21249,NON
15474,OFF
8622,NON
51876,NON
43357,NON
28536,OFF
29295,NON
35462,OFF
40554,NON
5117,NON
16102,NON
52686,NON
31950,NON
44952,NON
4172,NON
26814,NON
8891,NON
13047,OFF
49859,NON
1922,NON
32036,OFF
11875,NON
8229,NON
17985,NON
13215,NON
49864,NON
39139,NON
26057,NON
56629,OFF
34398,NON
35582,OFF
56322,NON
44001,NON
36091,NON
22331,NON
18834,NON
14810,NON
20995,NON
43793,NON
45588,NON
7508,OFF
29108,NON
53791,OFF
53610,NON
25871,NON
163,NON
17284,NON
40578,OFF
2034,OFF
54627,NON
47685,NON
15215,NON
25108,NON
47793,OFF
26453,NON
46771,NON
25617,NON
36721,NON
46057,NON
24232,NON
6350,NON
24074,NON
40708,NON
55870,NON
6127,NON
15354,NON
8871,OFF
31177,OFF
38066,OFF
29507,NON
1368,NON
47541,NON
19044,NON
33579,NON
14468,NON
32029,OFF
58909,OFF
41600,NON
21600,NON
15509,NON
12635,NON
53547,NON
32881,OFF
39170,OFF
39718,NON
46909,NON
1783,NON
28175,NON
47704,NON
44651,NON
26639,NON
41,NON
27164,NON
20611,NON
2525,NON
32629,NON
45776,NON
32224,NON
3956,OFF
36872,NON
11305,NON
29607,NON
2316,NON
29186,NON
51849,NON
49014,NON
3409,NON
37466,NON
46983,NON
38837,NON
6293,NON
47407,NON
15891,NON
22457,NON
18880,NON
46544,OFF
56510,NON
7108,NON
18199,NON
37687,NON
25134,OFF
22458,NON
16400,NON
7739,NON
1925,OFF
53588,NON
29431,NON
41399,NON
43589,NON
30252,NON
35086,NON
50832,OFF
12073,NON
23371,NON
11986,NON
4294,NON
45973,NON
16901,NON
9312,NON
54206,NON
40143,NON
57772,NON
11067,NON
28433,NON
9182,NON
25798,NON
3629,NON
2468,NON
14605,OFF
1123,NON
1191,NON
5345,NON
50538,OFF
20385,NON
32995,OFF
26234,NON
4195,NON
50162,NON
7848,NON
59290,OFF
38177,NON
14051,NON
7238,NON
16370,OFF
59916,NON
19456,NON
33951,NON
44835,NON
36204,NON
10358,NON
18888,NON
43172,OFF
44189,OFF
23459,NON
34237,NON
20378,NON
8050,NON
49221,NON
13216,OFF
4131,NON
14796,NON
49386,NON
8245,NON
26765,NON
6441,OFF
44044,OFF
14847,NON
14254,NON
880,NON
42407,NON
32927,NON
21624,NON
41945,NON
3062,NON
41511,NON
43056,NON
55177,OFF
35447,NON
28231,NON
9930,NON
2194,NON
6819,NON
34350,OFF
54458,NON
56104,NON
24782,NON
42382,NON
32783,NON
50247,OFF
46360,NON
32422,NON
43008,NON
26222,NON
2399,OFF
5298,OFF
4766,NON
10079,NON
18568,NON
59593,NON
12340,NON
53930,NON
49248,OFF
55999,NON
57700,NON
22830,NON
24605,NON
19280,NON
16927,NON
700,NON
9459,NON
51396,NON
30147,NON
33070,NON
55054,NON
54599,NON
19709,NON
16947,NON
38778,NON
41751,NON
1540,NON
1220,NON
42265,NON
11309,NON
1484,NON
55064,NON
40507,NON
55815,NON
14322,OFF
15709,NON
14614,NON
59711,NON
43325,NON
16913,NON
20542,NON
15875,NON
22796,NON
57337,NON
38710,NON
36274,NON
20501,NON
54953,OFF
10908,NON
10115,NON
6214,NON
47676,NON
44891,NON
9485,NON
27435,NON
34239,NON
3382,NON
25489,NON
54298,NON
30840,NON
22250,NON
53213,NON
3935,NON
58803,NON
3057,OFF
51424,OFF
5792,NON
3691,NON
7181,OFF
20691,NON
4061,NON
55324,NON
9508,NON
16444,NON
11739,NON
28926,NON
53078,NON
12513,OFF
24164,NON
48452,NON
11415,NON
49233,NON
124,NON
12723,OFF
53713,NON
52640,OFF
2317,NON
17846,NON
15189,NON
1886,NON
57888,OFF
22435,NON
20607,NON
19524,NON
20137,NON
26071,NON
53071,NON
54268,NON
27165,NON
11468,NON
56020,NON
35707,NON
5424,OFF
9556,NON
39548,NON
5188,NON
43242,NON
37802,NON
7494,NON
45099,NON
48830,NON
50346,NON
26001,NON
48885,OFF
19383,NON
32994,NON
35371,NON
49734,NON
46794,NON
38554,NON
5501,NON
18125,NON
790,NON
2040,NON
56205,NON
50102,OFF
19199,NON
11387,OFF
30440,NON
5145,NON
17604,NON
40954,NON
57833,NON
4404,OFF
42082,NON
28730,NON
55625,NON
26117,NON
4710,OFF
2845,NON
47125,NON
16076,NON
54264,OFF
32930,OFF
1294,NON
52699,NON
44977,NON
45656,NON
41392,NON
51964,NON
32608,NON
21802,NON
43464,NON
24141,NON
22615,NON
3729,OFF
34506,NON
3633,OFF
18222,NON
36801,NON
33599,NON
50296,NON
16270,NON
10778,OFF
11459,NON
26777,NON
51621,OFF
27326,NON
29709,NON
56141,NON
46537,NON
37342,NON
23141,NON
44580,NON
45014,NON
5969,OFF
46649,NON
18655,NON
51188,NON
24944,OFF
47925,NON
39318,NON
53458,NON
15984,NON
39683,NON
36024,NON
32703,NON
41612,OFF
50700,NON
14381,NON
1288,NON
1338,NON
1940,OFF
17881,NON
7872,NON
2839,NON
8804,NON
23101,OFF
37382,NON
49808,NON
23493,NON
17821,NON
18195,NON
25097,NON
13440,NON
39149,NON
55501,NON
32489,NON
22777,NON
42513,NON
25653,NON
9379,NON
54309,NON
29655,NON
9725,NON
28695,NON
2291,NON
36903,NON
2532,NON
14307,NON
46876,OFF
22936,NON
7992,NON
34583,NON
14732,NON
50469,NON
13966,NON
34883,NON
9141,NON
59413,OFF
49491,NON
41254,NON
7541,NON
6200,OFF
35253,NON
23819,NON
1835,NON
9422,NON
814,NON
59039,NON
2824,NON
16423,NON
8081,NON
3198,NON
18277,NON
26198,NON
12330,OFF
52826,OFF
46871,NON
52853,OFF
19496,NON
53700,NON
19281,NON
55013,NON
59798,NON
35344,OFF
56396,NON
38902,NON
52865,NON
2387,NON
15513,NON
54606,NON
34184,NON
23760,NON
20949,NON
27039,NON
7976,NON
15289,NON
30958,NON
15799,NON
57320,NON
31737,NON
36702,OFF
28240,NON
40946,NON
12913,NON
52768,NON
33867,NON
52185,NON
6222,NON
52766,NON
44558,NON
58823,OFF
26266,NON
17405,NON
20653,NON
36356,NON
23526,NON
18090,NON
34326,NON
45944,OFF
33799,NON
43070,NON
1138,NON
27759,NON
8481,NON
51887,NON
9226,NON
49677,NON
54982,NON
51114,NON
55533,NON
49679,NON
29757,NON
35415,NON
20323,NON
43679,NON
34857,NON
58761,NON
33640,NON
26122,NON
32775,NON
57018,NON
17545,NON
36082,NON
11567,NON
23624,NON
40495,OFF
58839,OFF
20959,OFF
55074,NON
45286,NON
36851,NON
31556,OFF
14642,NON
43587,NON
56665,NON
51834,NON
45808,NON
52636,NON
59773,NON
19477,OFF
12451,NON
56740,NON
51483,NON
9494,OFF
22629,NON
39207,NON
5264,NON
38384,NON
6867,NON
44305,NON
50035,NON
23344,NON
44783,NON
28672,NON
24095,NON
56899,OFF
44789,NON
50591,NON
44780,NON
57031,OFF
54565,NON
29919,NON
51721,NON
49981,NON
5328,NON
3083,NON
48024,NON
15041,NON
3540,NON
5417,NON
52626,NON
54249,NON
7151,OFF
37885,OFF
51265,NON
38273,NON
36689,NON
29642,OFF
41366,NON
24091,NON
17435,NON
9055,NON
5649,NON
20014,OFF
26006,OFF
28720,NON
36311,NON
4418,NON
20450,NON
26399,OFF
27934,NON
10866,NON
16276,NON
28959,NON
24925,NON
6657,NON
8838,NON
44699,NON
50025,NON
35070,NON
55814,NON
18745,NON
13869,NON
17618,NON
31935,NON
55658,NON
56238,NON
48111,NON
8602,NON
17959,NON
22853,NON
10182,NON
45223,NON
44217,NON
48408,NON
51181,NON
3828,NON
26575,NON
43365,OFF
25044,NON
11453,NON
23673,OFF
21720,NON
13788,NON
55922,NON
4973,NON
17734,OFF
18744,OFF
43872,NON
47055,NON
17366,OFF
11605,OFF
35276,NON
28516,NON
57761,OFF
56830,NON
15463,NON
15055,NON
11247,NON
7395,NON
16267,NON
53159,NON
8399,NON
11169,NON
41013,NON
826,NON
19190,NON
33598,NON
29238,NON
17225,NON
46577,NON
1059,NON
53579,NON
54153,NON
32279,NON
41780,OFF
16800,NON
8199,NON
48770,NON
3826,NON
13945,NON
5018,NON
20851,NON
11082,OFF
57960,NON
6190,NON
41010,NON
38996,OFF
50468,NON
1435,NON
33962,NON
33346,NON
19911,NON
57454,NON
